## blobtools v1.0
## assembly	: /p200/wuzhy_group/luobw/data/jellywasp/1_blobtools/3_bwa_pilon/s2_pilon/pilon1.fasta
## coverage	: bam0 - /p200/wuzhy_group/luobw/data/jellywasp/1_blobtools/4_mapping_to_polished_contig/minimap2_pacbio/pacbio_raw.vs.pilon1.bam
## taxonomy	: tax0 - /p200/wuzhy_group/luobw/data/jellywasp/1_blobtools/5_blast_polished_contig/10hit_blast_result/10_hits_all.out
## nodesDB	: /p200/wuzhy_group/luobw/software/blobtools-master/data/nodesDB.txt
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6	phylum.s.7	phylum.c.8
ctg232|arrow|pilon	91498	0.5951	0	17.911	Proteobacteria	841178.0	0
ctg233|arrow|pilon	41454	0.3296	0	11.873	no-hit	0.0	0
ctg234|arrow|pilon	68551	0.5488	0	52.158	Proteobacteria	94373.0	0
ctg235|arrow|pilon	327725	0.333	0	11.276	Streptophyta	1974.0	2
ctg236|arrow|pilon	137165	0.6738	0	13.858	Proteobacteria	305824.0	0
ctg237|arrow|pilon	153890	0.6525	0	7.657	Proteobacteria	761877.0	0
ctg238|arrow|pilon	128230	0.692	0	14.699	Proteobacteria	701145.0	0
ctg239|arrow|pilon	52342	0.3293	0	9.247	Apicomplexa	143.0	0
ctg240|arrow|pilon	38622	0.341	0	36.598	no-hit	0.0	0
ctg241|arrow|pilon	96254	0.643	0	7.788	Proteobacteria	100303.0	0
ctg242|arrow|pilon	40678	0.4547	0	80.47	Proteobacteria	49716.0	0
ctg243|arrow|pilon	41572	0.6387	0	10.634	Proteobacteria	265776.0	0
ctg244|arrow|pilon	155334	0.3321	0	14.143	no-hit	0.0	0
ctg245|arrow|pilon	160115	0.3284	0	10.172	no-hit	0.0	0
ctg246|arrow|pilon	49773	0.3378	0	8.957	no-hit	0.0	0
ctg247|arrow|pilon	78196	0.3276	0	10.009	Ascomycota	231.0	0
ctg248|arrow|pilon	75801	0.3236	0	12.647	no-hit	0.0	0
ctg249|arrow|pilon	69590	0.3367	0	10.761	Proteobacteria	7429.0	0
ctg250|arrow|pilon	137014	0.6143	0	8.058	Proteobacteria	528614.0	0
ctg251|arrow|pilon	44322	0.6567	0	10.409	Proteobacteria	182978.0	0
ctg252|arrow|pilon	111069	0.3305	0	12.38	no-hit	0.0	0
ctg253|arrow|pilon	50899	0.3199	0	12.309	no-hit	0.0	0
ctg254|arrow|pilon	111581	0.3315	0	10.082	Proteobacteria	4974.0	0
ctg255|arrow|pilon	124667	0.6858	0	8.521	Proteobacteria	81486.0	2
ctg256|arrow|pilon	146946	0.6796	0	9.485	Proteobacteria	154563.0	1
ctg257|arrow|pilon	114373	0.6718	0	10.716	Proteobacteria	333507.0	0
ctg258|arrow|pilon	45871	0.5623	0	10.202	Proteobacteria	101766.0	0
ctg259|arrow|pilon	192872	0.3267	0	12.077	Ascomycota	444.0	1
ctg260|arrow|pilon	80426	0.3259	0	10.11	Nematoda	220.0	2
ctg261|arrow|pilon	38413	0.6558	0	9.268	Proteobacteria	186938.0	0
ctg262|arrow|pilon	58600	0.3286	0	10.95	no-hit	0.0	0
ctg263|arrow|pilon	115671	0.327	0	13.165	no-hit	0.0	0
ctg264|arrow|pilon	85550	0.3298	0	9.961	no-hit	0.0	0
ctg265|arrow|pilon	99662	0.3261	0	9.84	no-hit	0.0	0
ctg266|arrow|pilon	41228	0.5748	0	18.49	Proteobacteria	376955.0	0
ctg267|arrow|pilon	115300	0.3294	0	9.949	Ascomycota	1112.0	1
ctg268|arrow|pilon	59116	0.6983	0	13.873	Proteobacteria	187273.0	0
ctg269|arrow|pilon	116615	0.641	0	7.682	Proteobacteria	366386.0	0
ctg270|arrow|pilon	56298	0.3215	0	12.934	Nematoda	171.0	1
ctg271|arrow|pilon	56134	0.322	0	12.133	no-hit	0.0	0
ctg272|arrow|pilon	56549	0.3258	0	11.532	Proteobacteria	5496.0	0
ctg273|arrow|pilon	36401	0.6609	0	16.715	Proteobacteria	301970.0	0
ctg274|arrow|pilon	53925	0.6556	0	11.082	Proteobacteria	70739.0	0
ctg275|arrow|pilon	37295	0.6769	0	9.099	Proteobacteria	124286.0	0
ctg276|arrow|pilon	50167	0.6516	0	7.662	Proteobacteria	231649.0	0
ctg277|arrow|pilon	148406	0.3325	0	11.276	no-hit	0.0	0
ctg278|arrow|pilon	168410	0.3284	0	12.557	no-hit	0.0	0
ctg279|arrow|pilon	35366	0.6606	0	16.274	Proteobacteria	53460.0	0
ctg280|arrow|pilon	36522	0.6259	0	150.471	Proteobacteria	4428.0	0
ctg281|arrow|pilon	76016	0.3407	0	10.461	no-hit	0.0	0
ctg282|arrow|pilon	32219	0.6408	0	17.779	Proteobacteria	198153.0	0
ctg283|arrow|pilon	54408	0.5786	0	24.683	Proteobacteria	521910.0	0
ctg284|arrow|pilon	212087	0.3314	0	10.335	Proteobacteria	3861.0	0
ctg285|arrow|pilon	122957	0.6389	0	8.202	Proteobacteria	451198.0	0
ctg286|arrow|pilon	51145	0.568	0	15.695	Proteobacteria	449406.0	0
ctg287|arrow|pilon	52625	0.3232	0	10.903	no-hit	0.0	0
ctg288|arrow|pilon	83549	0.3279	0	11.47	no-hit	0.0	0
ctg289|arrow|pilon	75725	0.6743	0	8.019	Proteobacteria	245230.0	0
ctg290|arrow|pilon	35433	0.3239	0	11.357	Proteobacteria	488.0	0
ctg291|arrow|pilon	36182	0.5778	0	15.936	Proteobacteria	293247.0	0
ctg292|arrow|pilon	204969	0.3377	0	9.77	Proteobacteria	3007.0	0
ctg293|arrow|pilon	78914	0.5596	0	20.012	Proteobacteria	803674.0	0
ctg294|arrow|pilon	34502	0.5738	0	11.92	Proteobacteria	188309.0	0
ctg295|arrow|pilon	87177	0.6577	0	7.688	Proteobacteria	266460.0	0
ctg296|arrow|pilon	34649	0.3251	0	10.765	no-hit	0.0	0
ctg297|arrow|pilon	33324	0.6984	0	14.03	Proteobacteria	160910.0	0
ctg298|arrow|pilon	32993	0.6945	0	9.028	Proteobacteria	55720.0	0
ctg299|arrow|pilon	55387	0.3324	0	9.581	no-hit	0.0	0
ctg300|arrow|pilon	43499	0.3424	0	10.564	Arthropoda	1109.0	4
ctg301|arrow|pilon	84613	0.3404	0	10.954	no-hit	0.0	0
ctg302|arrow|pilon	29088	0.5666	0	78.045	Proteobacteria	35541.0	0
ctg303|arrow|pilon	50568	0.319	0	9.406	no-hit	0.0	0
ctg304|arrow|pilon	59357	0.5841	0	17.179	Proteobacteria	558543.0	0
ctg305|arrow|pilon	31502	0.6026	0	25.645	Proteobacteria	42929.0	1
ctg306|arrow|pilon	76543	0.5903	0	16.355	Proteobacteria	644778.0	0
ctg307|arrow|pilon	53854	0.5911	0	10.848	Proteobacteria	17500.0	0
ctg308|arrow|pilon	49377	0.3347	0	9.597	Chytridiomycota	2060.0	3
ctg309|arrow|pilon	48826	0.3363	0	8.139	no-hit	0.0	0
ctg310|arrow|pilon	94004	0.3295	0	9.584	no-hit	0.0	0
ctg311|arrow|pilon	59752	0.3316	0	15.037	Arthropoda	1109.0	2
ctg312|arrow|pilon	31850	0.6822	0	15.85	Proteobacteria	123196.0	0
ctg313|arrow|pilon	32509	0.6275	0	27.768	Actinobacteria	27952.0	0
ctg314|arrow|pilon	32525	0.3248	0	12.525	no-hit	0.0	0
ctg315|arrow|pilon	42586	0.3295	0	10.806	no-hit	0.0	0
ctg316|arrow|pilon	114287	0.3268	0	9.765	no-hit	0.0	0
ctg317|arrow|pilon	184175	0.3237	0	8.882	no-hit	0.0	0
ctg318|arrow|pilon	76557	0.3297	0	10.763	no-hit	0.0	0
ctg319|arrow|pilon	33352	0.3872	0	11.312	Eukaryota-undef	4783.0	1
ctg320|arrow|pilon	69511	0.3259	0	10.95	no-hit	0.0	0
ctg321|arrow|pilon	34597	0.3371	0	10.812	Proteobacteria	6426.0	0
ctg322|arrow|pilon	52643	0.6637	0	7.666	Proteobacteria	271521.0	0
ctg323|arrow|pilon	39282	0.3317	0	10.414	Ascomycota	176.0	0
ctg324|arrow|pilon	29612	0.6496	0	20.411	Actinobacteria	19770.0	1
